 구분 , 인원 , 총수입금액(억 원) , 근로소득금액(억 원) , 소득공제액(억 원) , 과세표준(억 원) , 결정세액 (억 원)
 상위 0.1% 내 ,18005,145609,140686,10057,135552,45563
 상위 0.2% 내 ,18006,57936,54689,6680,51256,15058
 상위 0.3% 내 ,18005,45659,42613,6214,39445,10784
 상위 0.4% 내 ,18006,39640,36684,6017,33623,8664
 상위 0.5% 내 ,18005,35854,32932,5984,29870,7337
 상위 0.6% 내 ,18006,33288,30397,5920,27367,6453
 상위 0.7% 내 ,18005,31427,28551,5952,25475,5788
 상위 0.8% 내 ,18006,29898,27039,5927,23970,5283
 상위 0.9% 내 ,18005,28673,25828,5895,22779,4869
 상위 1.0% 내 ,18006,27670,24839,5909,21760,4522
 상위 2% 내 ,180055,242838,215079,57868,184969,34051
 상위 3% 내 ,180056,208070,180964,56620,151450,23475
 상위 4% 내 ,180055,187926,161220,55738,132188,18801
 상위 5% 내 ,180055,173537,147310,54238,119299,15883
 상위 6% 내 ,180056,162484,136808,53252,109231,13582
 상위 7% 내 ,180055,154095,128838,52584,101512,11830
 상위 8% 내 ,180055,147472,122546,52550,94922,10313
 상위 9% 내 ,180056,141576,116944,52211,89364,9103
 상위 10% 내 ,180055,136059,111703,51623,84436,8112
 상위 11% 내 ,180055,131022,106918,50830,80192,7373
 상위 12% 내 ,180056,126402,102528,50099,76303,6626
 상위 13% 내 ,180055,122037,98381,49552,72485,5921
 상위 14% 내 ,180055,117857,94412,48809,69049,5466
 상위 15% 내 ,180056,113897,90648,48037,65860,5073
 상위 16% 내 ,180055,110143,87082,47257,62886,4696
 상위 17% 내 ,180055,106727,83836,46119,60608,4444
 상위 18% 내 ,180056,103308,80588,45845,57464,4018
 상위 19% 내 ,180055,100054,77497,45003,55051,3713
 상위 20% 내 ,180055,96946,74545,44305,52641,3385
 상위 21% 내 ,180056,94018,71763,43666,50351,3104
 상위 22% 내 ,180055,91245,69128,42963,48282,2862
 상위 23% 내 ,180055,88643,66656,42350,46294,2625
 상위 24% 내 ,180056,86222,64356,41602,44619,2442
 상위 25% 내 ,180055,83903,62153,41089,42814,2232
 상위 26% 내 ,180055,81636,60005,40525,41111,2039
 상위 27% 내 ,180056,79487,58111,39782,39705,1894
 상위 28% 내 ,180055,77402,56340,39008,38394,1755
 상위 29% 내 ,180055,75439,54671,38148,37292,1640
 상위 30% 내 ,180056,73554,53068,37535,36019,1497
 상위 31% 내 ,180055,71713,51504,36841,34873,1369
 상위 32% 내 ,180055,69935,49992,36124,33811,1258
 상위 33% 내 ,180056,68254,48564,35445,32809,1155
 상위 34% 내 ,180055,66599,47157,34794,31805,1050
 상위 35% 내 ,180055,65075,45861,34021,31054,986
 상위 36% 내 ,180056,63660,44658,33570,30090,886
 상위 37% 내 ,180055,62213,43429,32934,29279,812
 상위 38% 내 ,180055,60741,42177,32354,28387,732
 상위 39% 내 ,180056,59318,40968,31768,27551,666
 상위 40% 내 ,180055,57989,39838,31247,26742,610
 상위 41% 내 ,180055,56643,38694,30668,25975,555
 상위 42% 내 ,180056,55338,37584,30047,25291,512
 상위 43% 내 ,180055,54127,36555,29574,24553,469
 상위 44% 내 ,180055,52994,35592,29108,23885,430
 상위 45% 내 ,180056,51818,34593,28560,23258,392
 상위 46% 내 ,180055,50652,33602,28043,22609,359
 상위 47% 내 ,180055,49516,32636,27641,21875,328
 상위 48% 내 ,180056,48392,31681,27188,21204,302
 상위 49% 내 ,180055,47357,30801,26905,20453,278
 상위 50% 내 ,180056,46311,29912,26445,19866,258
 상위 51% 내 ,180055,45288,29042,26088,19200,239
 상위 52% 내 ,180055,44294,28197,25691,18603,220
 상위 53% 내 ,180056,43373,27415,25417,17956,203
 상위 54% 내 ,180055,42630,26782,25031,17598,193
 상위 55% 내 ,180055,41658,25957,24822,16837,173
 상위 56% 내 ,180056,40822,25246,24480,16343,164
 상위 57% 내 ,180055,39925,24483,24101,15823,155
 상위 58% 내 ,180055,39058,23746,23863,15195,145
 상위 59% 내 ,180056,38227,23040,23450,14777,139
 상위 60% 내 ,180055,37361,22304,23203,14158,129
 상위 61% 내 ,180055,36570,21631,23077,13493,117
 상위 62% 내 ,180056,35732,20920,22510,13222,114
 상위 63% 내 ,180055,34864,20182,22371,12493,100
 상위 64% 내 ,180055,34057,19496,21922,12135,94
 상위 65% 내 ,180056,33166,18739,21626,11541,84
 상위 66% 내 ,180055,32444,18125,21558,10886,75
 상위 67% 내 ,180055,31773,17555,20982,10791,71
 상위 68% 내 ,180056,30883,16798,20804,10079,59
 상위 69% 내 ,180055,30184,16203,20697,9486,50
 상위 70% 내 ,180055,29523,15641,20243,9279,45
 상위 71% 내 ,180056,29048,15238,20375,8673,35
 상위 72% 내 ,180055,28249,14559,19875,8373,30
 상위 73% 내 ,180055,27555,13969,19472,8082,24
 상위 74% 내 ,180056,26591,13254,18988,7603,14
 상위 75% 내 ,180055,25817,12790,18645,7172,8
 상위 76% 내 ,180055,24890,12233,17827,7063,3
 상위 77% 내 ,180056,23928,11656,17224,6704,1
 상위 78% 내 ,180055,22957,11073,16636,6321,0
 상위 79% 내 ,180055,21873,10423,15662,6210,0
 상위 80% 내 ,180056,21179,10006,16115,5064,0
 상위 81% 내 ,180055,19990,9293,15012,4978,0
 상위 82% 내 ,180055,18988,8692,14614,4374,0
 상위 83% 내 ,180056,17821,7992,13889,3933,0
 상위 84% 내 ,180055,16771,7362,13391,3380,0
 상위 85% 내 ,180055,15578,6646,12799,2779,0
 상위 86% 내 ,180056,14479,5987,12151,2328,0
 상위 87% 내 ,180055,13305,5282,11518,1787,0
 상위 88% 내 ,180055,12178,4606,10922,1256,0
 상위 89% 내 ,180056,11025,3914,10307,718,0
 상위 90% 내 ,180055,9938,3262,9738,200,0
 상위 91% 내 ,180055,8814,2662,8807,7,0
 상위 92% 내 ,180056,7712,2314,7712,0,0
 상위 93% 내 ,180055,6702,2011,6702,0,0
 상위 94% 내 ,180055,5667,1700,5667,0,0
 상위 95% 내 ,180056,4758,1427,4758,0,0
 상위 96% 내 ,180055,3843,1153,3843,0,0
 상위 97% 내 ,180055,2940,882,2940,0,0
 상위 98% 내 ,180056,2099,630,2099,0,0
 상위 99% 내 ,180055,1116,335,1116,0,0
 상위 100% 내 ,180056,176,53,176,0,0
