 구분 , 인원 , 총수입금액(억 원) , 근로소득금액(억 원) , 소득공제액(억 원) , 과세표준(억 원) , 결정세액 (억 원)
상위 0.1% 내,17740,121433,117093,9027,112405,37036
상위 0.2% 내,17740,54892,51782,6373,48519,13904
상위 0.3% 내,17740,43424,40486,5960,37464,9984
상위 0.4% 내,17740,37408,34543,5825,31583,7922
상위 0.5% 내,17740,33716,30878,5811,27905,6629
상위 0.6% 내,17740,31266,28451,5782,25483,5797
상위 0.7% 내,17740,29435,26646,5754,23682,5189
상위 0.8% 내,17740,28023,25245,5786,22238,4705
상위 0.9% 내,17740,26899,24137,5753,21146,4335
상위 1.0% 내,17740,25992,23244,5755,20237,4019
상위 2% 내,177401,229365,202259,56847,172518,30125
상위 3% 내,177401,198801,172224,55592,143209,21486
상위 4% 내,177401,180395,154204,54486,125908,17467
상위 5% 내,177401,166414,140806,52828,113586,14700
상위 6% 내,177401,155327,130271,51774,103554,12401
상위 7% 내,177401,147123,122474,50885,96238,10764
상위 8% 내,177401,140715,116386,50782,89933,9360
상위 9% 내,177401,135079,111031,50432,84646,8255
상위 10% 내,177401,129837,106052,49745,80093,7427
상위 11% 내,177401,125036,101489,49229,75808,6597
상위 12% 내,177401,120526,97205,48585,71940,5843
상위 13% 내,177401,116235,93130,47955,68280,5351
상위 14% 내,177401,112193,89289,47349,64844,4911
상위 15% 내,177401,108408,85694,46581,61828,4557
상위 16% 내,177401,105023,82476,45430,59594,4323
상위 17% 내,177401,101643,79265,45125,56517,3903
상위 18% 내,177401,98383,76170,44473,53911,3570
상위 19% 내,177401,95224,73168,43712,51512,3245
상위 20% 내,177401,92239,70331,43034,49206,2971
상위 21% 내,177401,89431,67664,42344,47086,2725
상위 22% 내,177401,86799,65164,41754,45043,2483
상위 23% 내,177401,84370,62856,41013,43358,2297
상위 24% 내,177401,82029,60632,40526,41503,2083
상위 25% 내,177401,79761,58509,39964,39798,1893
상위 26% 내,177401,77606,56652,39191,38414,1755
상위 27% 내,177401,75488,54852,38109,37378,1667
상위 28% 내,177401,73537,53193,37742,35794,1473
상위 29% 내,177401,71614,51559,36888,34726,1369
상위 30% 내,177401,69760,49983,36237,33523,1240
상위 31% 내,177401,67975,48466,35484,32491,1138
상위 32% 내,177401,66236,46988,34749,31486,1039
상위 33% 내,177401,64562,45565,33631,30931,1002
상위 34% 내,177401,63139,44355,33794,29345,820
상위 35% 내,177401,61614,43059,32795,28819,792
상위 36% 내,177401,60100,41772,32230,27869,708
상위 37% 내,177401,58621,40515,31636,26985,640
상위 38% 내,177401,57218,39322,31043,26174,583
상위 39% 내,177401,55819,38133,30461,25358,530
상위 40% 내,177401,54448,36968,29849,24601,484
상위 41% 내,177401,53200,35907,29272,23929,446
상위 42% 내,177401,51981,34871,28760,23221,407
상위 43% 내,177401,50785,33854,28184,22602,372
상위 44% 내,177401,49557,32810,27535,22021,346
상위 45% 내,177401,48406,31832,27355,21053,302
상위 46% 내,177401,47247,30847,26881,20364,281
상위 47% 내,177401,46201,29958,26365,19835,265
상위 48% 내,177401,45083,29008,25985,19098,243
상위 49% 내,177401,44052,28131,25579,18472,223
상위 50% 내,177401,43001,27238,24654,18347,227
상위 51% 내,177400,42253,26602,25531,16723,168
상위 52% 내,177401,41245,25745,24552,16695,176
상위 53% 내,177401,40340,24975,24283,16057,162
상위 54% 내,177401,39426,24199,23927,15498,151
상위 55% 내,177401,38518,23426,23631,14886,141
상위 56% 내,177401,37663,22700,23336,14327,132
상위 57% 내,177401,36788,21956,22987,13801,123
상위 58% 내,177401,36006,21292,22809,13195,113
상위 59% 내,177401,35188,20597,22300,12887,109
상위 60% 내,177401,34344,19879,22106,12240,98
상위 61% 내,177401,33548,19203,21739,11808,90
상위 62% 내,177401,32688,18472,21454,11234,81
상위 63% 내,177401,31967,17859,21352,10615,72
상위 64% 내,177401,31287,17280,20769,10517,68
상위 65% 내,177401,30410,16536,20628,9782,56
상위 66% 내,177401,29686,15920,20436,9250,47
상위 67% 내,177401,28938,15284,19975,8962,41
상위 68% 내,177401,28155,14618,19633,8523,33
상위 69% 내,177401,27598,14145,19551,8047,26
상위 70% 내,177401,26984,13623,19377,7608,18
상위 71% 내,177401,26366,13161,18843,7523,15
상위 72% 내,177401,25608,12704,18586,7021,8
상위 73% 내,177401,24995,12337,17901,7093,6
상위 74% 내,177401,24058,11774,17291,6769,2
상위 75% 내,177401,23258,11294,16812,6446,0
상위 76% 내,177401,22380,10767,16303,6078,0
상위 77% 내,177401,21475,10224,15334,6141,0
상위 78% 내,177401,20903,9881,16000,4902,0
상위 79% 내,177401,19911,9286,15000,4911,0
상위 80% 내,177401,19021,8751,14548,4473,0
상위 81% 내,177401,18074,8184,14009,4063,0
상위 82% 내,177401,17123,7613,13516,3608,0
상위 83% 내,177401,16210,7065,13019,3192,0
상위 84% 내,177401,15233,6479,12511,2722,0
상위 85% 내,177401,14299,5919,11979,2323,0
상위 86% 내,177401,13378,5366,11524,1854,0
상위 87% 내,177401,12446,4807,11003,1443,0
상위 88% 내,177401,11358,4154,10420,938,0
상위 89% 내,177401,10334,3539,9907,427,0
상위 90% 내,177401,9262,2898,9200,62,0
상위 91% 내,177401,8233,2470,8233,0,0
상위 92% 내,177401,7214,2164,7213,0,0
상위 93% 내,177401,6284,1885,6283,0,0
상위 94% 내,177401,5315,1595,5316,0,0
상위 95% 내,177401,4458,1338,4458,0,0
상위 96% 내,177401,3590,1077,3593,0,0
상위 97% 내,177401,2758,828,2758,0,0
상위 98% 내,177401,1978,594,1978,0,0
상위 99% 내,177401,1073,322,1072,0,0
상위 100% 내,177401,191,57,191,0,0
